bootstrap_unit,ci95_high,ci95_low,comparison,density,geometry,median_difference,metric,n_agents,n_pairs,paired_mean_difference,positive_fraction
shared held-out evaluation seed,0.00013541666666666666,-0.0005106770833333334,crmf - ALF,0.0204,clustered,-0.0003124999999999994,contact_break_rate,16,30,-0.0001875,0.3333333333333333
shared held-out evaluation seed,0.00014583333333333335,-0.00053125,crmf - ALF,0.0204,clustered,-0.00031249999999999984,neighbor_loss_rate,16,30,-0.00020833333333333332,0.3333333333333333
shared held-out evaluation seed,-0.0020729684908789387,-0.01658374792703151,crmf - ALF,0.0204,clustered,0.0,radius_max_saturation_fraction,16,30,-0.008291873963515755,0.0
shared held-out evaluation seed,0.13333333333333333,-0.06666666666666667,crmf - ALF,0.0204,clustered,0.0,episode_failure,16,30,0.03333333333333333,0.06666666666666667
shared held-out evaluation seed,-4.5365591161043636e-07,-1.0871679843943598e-05,crmf - ALF,0.0204,clustered,-7.747828124990977e-06,controller_wall_s_per_agent_step,16,30,-5.718966666715154e-06,0.4
shared held-out evaluation seed,0.05,-0.11666666666666667,fixed_r_retained - ALF,0.0204,clustered,0.0,final_fragmentation,16,30,-0.03333333333333333,0.06666666666666667
shared held-out evaluation seed,-0.04195221807628526,-0.16292003524046433,fixed_r_retained - ALF,0.0204,clustered,-0.018656716417910446,mean_fragmentation,16,30,-0.10268449419568822,0.06666666666666667
shared held-out evaluation seed,0.22647206674958542,0.09245387645107794,fixed_r_retained - ALF,0.0204,clustered,0.09872512437810943,mean_largest_scc_fraction,16,30,0.159794776119403,0.7666666666666667
shared held-out evaluation seed,3.5522838930348257,2.7088772284411275,fixed_r_retained - ALF,0.0204,clustered,3.182524875621891,mean_degree,16,30,3.1414075456053068,1.0
shared held-out evaluation seed,3.73072107437071,2.5004893649497126,fixed_r_retained - ALF,0.0204,clustered,3.6593655440149995,degree_variance,16,30,3.1584147598708365,0.9
shared held-out evaluation seed,-0.0024929948404969616,-0.003297302010947878,fixed_r_retained - ALF,0.0204,clustered,-0.002849510597360564,radius_temporal_variation,16,30,-0.002892203824220996,0.0
shared held-out evaluation seed,-0.00023906250000000284,-0.0020627604166666667,fixed_r_retained - ALF,0.0204,clustered,-0.0015625,contact_break_rate,16,30,-0.0012083333333333332,0.2
shared held-out evaluation seed,-0.00029140625000000135,-0.0020104166666666664,fixed_r_retained - ALF,0.0204,clustered,-0.00140625,neighbor_loss_rate,16,30,-0.0011979166666666668,0.2
shared held-out evaluation seed,0.9978752072968491,0.9811668221393035,fixed_r_retained - ALF,0.0204,clustered,1.0,radius_max_saturation_fraction,16,30,0.9895522388059702,1.0
shared held-out evaluation seed,0.1,-0.23333333333333334,fixed_r_retained - ALF,0.0204,clustered,0.0,episode_failure,16,30,-0.06666666666666667,0.06666666666666667
shared held-out evaluation seed,5.1599703489704985e-05,3.533678385414069e-05,fixed_r_retained - ALF,0.0204,clustered,4.793335937534948e-05,controller_wall_s_per_agent_step,16,30,4.351360937497854e-05,0.9666666666666667
shared held-out evaluation seed,0.0,0.0,crdf - ALF,0.0331,uniform,0.0,final_fragmentation,16,30,0.0,0.0
shared held-out evaluation seed,0.0,0.0,crdf - ALF,0.0331,uniform,0.0,mean_fragmentation,16,30,0.0,0.0
shared held-out evaluation seed,-0.02300891376451078,-0.06601860489220562,crdf - ALF,0.0331,uniform,0.0,mean_largest_scc_fraction,16,30,-0.043345771144278594,0.03333333333333333
shared held-out evaluation seed,-1.6526344838308458,-1.998494506633499,crdf - ALF,0.0331,uniform,-1.7918221393034828,mean_degree,16,30,-1.8288764510779436,0.0
shared held-out evaluation seed,-1.530638421197934,-2.395496437117635,crdf - ALF,0.0331,uniform,-1.7890729421920248,degree_variance,16,30,-1.9299068053699167,0.06666666666666667
shared held-out evaluation seed,0.029189960356300726,0.024679001019832475,crdf - ALF,0.0331,uniform,0.026731995972456082,radius_temporal_variation,16,30,0.026907888743762872,1.0
shared held-out evaluation seed,0.007229166666666667,0.005551822916666667,crdf - ALF,0.0331,uniform,0.006875,contact_break_rate,16,30,0.006385416666666667,1.0
shared held-out evaluation seed,0.00727109375,0.005541666666666667,crdf - ALF,0.0331,uniform,0.006875,neighbor_loss_rate,16,30,0.0064062500000000005,1.0
shared held-out evaluation seed,-0.4258698694029851,-0.5143755182421227,crdf - ALF,0.0331,uniform,-0.43547885572139305,radius_max_saturation_fraction,16,30,-0.4691645936981758,0.0
shared held-out evaluation seed,0.0,0.0,crdf - ALF,0.0331,uniform,0.0,episode_failure,16,30,0.0,0.0
shared held-out evaluation seed,-9.68566578116281e-06,-2.3248056900869567e-05,crdf - ALF,0.0331,uniform,-1.583887500004267e-05,controller_wall_s_per_agent_step,16,30,-1.6609868749943264e-05,0.16666666666666666
shared held-out evaluation seed,0.0,0.0,crmf - ALF,0.0331,uniform,0.0,final_fragmentation,16,30,0.0,0.0
